編號,詞語,發音,音檔
1,-가,,
6,가게,ga**ː**ge,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/295343/SND000304697.mp3
7,가겟집,ga**ː**gejjip,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442979/SND000027752.mp3
11,가격,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442851/SND000020389.mp3
12,가격표,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120306/39528/SND000028231.mp3
16,가구,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442850/SND000020379.mp3
17,가구점,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120306/39512/SND000028215.mp3
18,가까워지다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/316356/SND000325710.mp3
19,가까이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/318888/SND000328242.mp3
20,가까이하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/300884/SND000310238.mp3
21,가깝다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31789/SND000020492.mp3
26,가꾸다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442872/SND000020510.mp3
31,가끔,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/20000/17000/321471/SND000330825.mp3
32,가늘다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442922/SND000020941.mp3
36,가다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/301272/SND000310626.mp3
37,가득,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442837/SND000019976.mp3
38,가루비누,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/294105/SND000303459.mp3
39,가루약,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40292/SND000028995.mp3
41,가르치다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442957/SND000021280.mp3
40,가리키다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442961/SND000021293.mp3
46,가방,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442828/SND000019932.mp3
47,가벼워지다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/343095/SND000352449.mp3
51,가볍다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31246/SND000019949.mp3
56,가수,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/20000/17000/318600/SND000327954.mp3
61,가슴,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442969/SND000021348.mp3
66,가요,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442978/SND000021410.mp3
71,가운데,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/20000/17000/307982/SND000317336.mp3
76,가위,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/443018/SND000029014.mp3
77,가위바위보,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442977/SND000021400.mp3
78,가위질하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40313/SND000029016.mp3
81,가을,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442841/SND000020336.mp3
82,가이드,,
86,가장,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442857/SND000020408.mp3
87,가전,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442858/SND000020415.mp3
91,가져가다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31711/SND000020414.mp3
96,가져오다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31735/SND000020438.mp3
101,가족,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442863/SND000020461.mp3
106,가지,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442861/SND000020440.mp3
111,가지다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/321495/SND000330849.mp3
116,가짜,ga**ː**jja,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/44000/319976/SND000329330.mp3
121,각,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442865/SND000020476.mp3
121,각각,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31794/SND000020497.mp3
126,간,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442919/SND000020904.mp3
131,간단하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/45000/326728/SND000336082.mp3
136,간단히,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/45000/295012/SND000304366.mp3
141,간식,gan**ː**sig,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/326729/SND000336083.mp3
146,간장,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442936/SND000021156.mp3
151,간호사,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/302590/SND000311944.mp3
152,간호원,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32450/SND000021153.mp3
156,갈비,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442875/SND000020546.mp3
161,갈비탕,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/10000/01000/293789/SND000303143.mp3
166,갈색,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120223/31905/SND000020608.mp3
167,갈아입다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32565/SND000021268.mp3
171,갈아타다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32575/SND000021278.mp3
176,감,gam**ː**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/326735/SND000336089.mp3
181,감기,gam**ː**gi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/301262/SND000310616.mp3
186,감기약,gam**ː**giyag,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/295309/SND000304663.mp3
191,감다,gam**ː**tta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/308303/SND000317657.mp3
196,감동,gam**ː**dong,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/326736/SND000336090.mp3
201,감동하다,gam**ː**donghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/296302/SND000305656.mp3
206,감사,gam**ː**sa,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/46000/308418/SND000317772.mp3
211,감사드립니다,gam**ː**sadeuri**m**nida,
216,감사하다,gam**ː**sahada,
221,감사합니다,gam**ː**saha**m**nida,
222,감상,gam**ː**sang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120223/31989/SND000020692.mp3
226,감자,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442905/SND000020782.mp3
231,감자탕,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/10000/01000/294149/SND000303503.mp3
236,갑자기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32515/SND000021218.mp3
241,값,ga**p**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442949/SND000021211.mp3
246,강,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442924/SND000021023.mp3
247,강냉이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442931/SND000021090.mp3
251,강아지,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120223/32321/SND000021024.mp3
256,강의,gang**ː**ui,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/294602/SND000303956.mp3
261,강좌,gang**ː**jwa,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/296618/SND000305972.mp3
263,강하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/32000/320303/SND000329657.mp3
266,갖다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32689/SND000021392.mp3
271,같다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32689/SND000021392.mp3
273,같아지다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32675/SND000021378.mp3
276,같이,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20170223/442831/SND000019954.mp3
279,갚다 ,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32545/SND000021248.mp3
281,개,gae**ː**,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/320396/SND000329750.mp3
282,개,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31441/SND000020144.mp3
286,개나리,gae**ː**nali,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/320854/SND000330208.mp3
291,개미,gae**ː**mi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/21000/294648/SND000304002.mp3
296,개월,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120222/31654/SND000020357.mp3
301,개인,gae**ː**in,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/33000/316557/SND000325911.mp3
306,거기,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32970/SND000021673.mp3
316,거리,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33271/SND000021974.mp3
321,거미,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33095/SND000021798.mp3
326,거스름돈,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33289/SND000021992.mp3
331,거실,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33291/SND000021994.mp3
336,거울,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33321/SND000022024.mp3
341,거의,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33320/SND000022023.mp3
342,거절,geo**ː**jeol,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/296915/SND000306269.mp3
343,거절되다,geo**ː**jeoldoeda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/296917/SND000306271.mp3
344,거절하다,geo**ː**jeolhada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/294747/SND000304101.mp3
346,거짓말,geo**ː**ji**n**mal,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/301200/SND000310554.mp3
347,거짓말하다,geo**ː**ji**n**malhada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/296946/SND000306300.mp3
351,걱정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32984/SND000021687.mp3
352,걱정되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32985/SND000021688.mp3
356,걱정하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32988/SND000021691.mp3
361,건강,geon**ː**gang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/304151/SND000313505.mp3
366,건강하다,geon**ː**ganghada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/295349/SND000304703.mp3
371,건너가다,geon**ː**neogada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/316559/SND000325913.mp3
376,건너다,geon**ː**neoda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/20000/13000/311097/SND000320451.mp3
377,건너오다,geon**ː**neooda,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/311521/SND000320875.mp3
381,건너편,geon**ː**neopyeon,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/10000/01000/308369/SND000317723.mp3
386,건물,geon**ː**mul,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/300874/SND000310228.mp3
391,건배,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33193/SND000021896.mp3
396,걷다,geod**ː**tta,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/301417/SND000310771.mp3
401,걸다,geol**ː**da,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33001/SND000021704.mp3
406,걸리다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/30000/22000/339157/SND000348511.mp3
411,걸어가다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33260/SND000021963.mp3
416,걸어오다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33261/SND000021964.mp3
417,걸음,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40608/SND000029311.mp3
418,검사,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/295323/SND000304677.mp3
419,검사하다,geom**ː**sahada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/34000/299084/SND000308438.mp3
421,검은색,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33093/SND000021796.mp3
422,검정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120308/40529/SND000029232.mp3
426,것,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33295/SND000021998.mp3
427,겉,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120225/33295/SND000021998.mp3
431,게,,
432,게스트,,
433,게으르다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120224/32820/SND000021523.mp3
434,게이머,,
441,게임,,
442,게임기,,
443,게임방,,
451,겨울,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120304/37989/SND000026692.mp3
456,겨울방학,,
466,결과,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37456/SND000026159.mp3
471,결석하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37525/SND000026228.mp3
472,결심,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37541/SND000026244.mp3
473,결심하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37542/SND000026245.mp3
476,결정,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42769/SND000031472.mp3
477,결정되다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42770/SND000031473.mp3
481,결정하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42772/SND000031475.mp3
486,결혼,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37469/SND000026172.mp3
491,결혼식,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/37000/302707/SND000312061.mp3
496,결혼하다,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120303/37472/SND000026175.mp3
501,경기,gyeongl**ː**gi,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/316562/SND000325916.mp3
506,경기장,gyeongl**ː**gijang,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/302989/SND000312343.mp3
507,경기하다,gyeongl**ː**gihada,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/40000/38000/302990/SND000312344.mp3
521,경찰,gyeong**ː**chal,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299649/SND000309003.mp3
526,경찰관,gyeong**ː**chalgwan,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299650/SND000309004.mp3
531,경찰서,gyeong**ː**chalsseo,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20160913/50000/41000/299662/SND000309016.mp3
536,경치,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42864/SND000031567.mp3
541,경험,,https://krdicmedia.korean.go.kr/multimedia/multimedia_files/convert/20120312/42886/SND000031589.mp3
